a,b,rho,xu,zu,N_front,k_spring,dz_max,dx_max,Cq_min,MR_min,MR_max,stroke_needed,F_shock_max,h_cap_rigid,h_cap_soft,feasible,failed
90.0,90.0,0.9,0.0,60.0,34.3,15.78,78.9,-36.8,0.834,0.332,0.403,28.7,453.7,32.5,45.0,False,Cq 0.83
90.0,108.0,0.5,-40.0,20.0,34.3,7.86,83.1,-48.4,0.881,0.312,0.458,30.5,240.1,32.5,45.0,True,
90.0,108.0,0.5,-40.0,40.0,34.3,7.56,83.1,-48.4,0.881,0.393,0.467,34.1,258.0,32.5,45.0,True,
90.0,108.0,0.5,-40.0,60.0,34.3,7.38,83.1,-48.4,0.881,0.423,0.473,36.0,265.7,32.5,45.0,True,
90.0,108.0,0.5,-20.0,20.0,34.3,20.83,83.1,-48.4,0.881,0.2,0.282,19.2,399.7,32.5,45.0,True,
90.0,108.0,0.5,-20.0,40.0,34.3,15.27,83.1,-48.4,0.881,0.3,0.329,25.4,387.3,32.5,45.0,True,
90.0,108.0,0.5,-20.0,60.0,34.3,12.76,83.1,-48.4,0.881,0.345,0.363,29.1,371.9,32.5,45.0,True,
90.0,108.0,0.5,0.0,20.0,34.3,123.94,83.1,-48.4,0.881,0.115,0.131,10.2,1263.9,32.5,45.0,False,MR range;F_shock 1264
90.0,108.0,0.5,0.0,40.0,34.3,44.87,83.1,-48.4,0.881,0.192,0.23,17.4,780.9,32.5,45.0,True,
90.0,108.0,0.5,0.0,60.0,34.3,27.58,83.1,-48.4,0.881,0.245,0.299,22.4,617.5,32.5,45.0,True,
90.0,108.0,0.7,-40.0,20.0,34.3,7.05,83.1,-48.4,0.881,0.28,0.484,30.3,213.4,32.5,45.0,True,
90.0,108.0,0.7,-40.0,40.0,34.3,6.05,83.1,-48.4,0.881,0.409,0.523,37.1,224.2,32.5,45.0,True,
90.0,108.0,0.7,-40.0,60.0,34.3,5.47,83.1,-48.4,0.881,0.486,0.55,41.5,226.9,32.5,45.0,False,stroke 41
90.0,108.0,0.7,-20.0,20.0,34.3,19.14,83.1,-48.4,0.881,0.193,0.294,19.3,370.3,32.5,45.0,True,
90.0,108.0,0.7,-20.0,40.0,34.3,12.52,83.1,-48.4,0.881,0.318,0.363,27.4,343.2,32.5,45.0,True,
90.0,108.0,0.7,-20.0,60.0,34.3,9.67,83.1,-48.4,0.881,0.394,0.413,33.2,320.8,32.5,45.0,True,
90.0,108.0,0.7,0.0,20.0,34.3,110.51,83.1,-48.4,0.881,0.122,0.135,10.7,1178.0,32.5,45.0,False,MR range;F_shock 1178
90.0,108.0,0.7,0.0,40.0,34.3,36.53,83.1,-48.4,0.881,0.213,0.249,19.1,696.1,32.5,45.0,True,
90.0,108.0,0.7,0.0,60.0,34.3,20.94,83.1,-48.4,0.881,0.281,0.339,25.5,534.6,32.5,45.0,True,
90.0,108.0,0.9,-40.0,20.0,34.3,6.8,83.1,-48.4,0.881,0.259,0.493,29.6,201.3,32.5,45.0,True,
90.0,108.0,0.9,-40.0,40.0,34.3,5.4,83.1,-48.4,0.881,0.404,0.553,38.1,206.0,32.5,45.0,True,
90.0,108.0,0.9,-40.0,60.0,34.3,4.62,83.1,-48.4,0.881,0.512,0.598,44.4,205.0,32.5,45.0,False,stroke 44
90.0,108.0,0.9,-20.0,20.0,34.3,18.39,83.1,-48.4,0.881,0.188,0.3,19.3,355.5,32.5,45.0,True,
90.0,108.0,0.9,-20.0,40.0,34.3,11.23,83.1,-48.4,0.881,0.322,0.384,28.4,319.0,32.5,45.0,True,
90.0,108.0,0.9,-20.0,60.0,34.3,8.22,83.1,-48.4,0.881,0.422,0.448,35.5,292.0,32.5,45.0,True,
90.0,108.0,0.9,0.0,20.0,34.3,103.51,83.1,-48.4,0.881,0.126,0.137,10.9,1130.3,32.5,45.0,False,MR range;F_shock 1130
90.0,108.0,0.9,0.0,40.0,34.3,32.36,83.1,-48.4,0.881,0.226,0.258,20.0,648.6,32.5,45.0,True,
90.0,108.0,0.9,0.0,60.0,34.3,17.72,83.1,-48.4,0.881,0.305,0.362,27.5,487.7,32.5,45.0,True,
110.0,44.0,0.5,-40.0,20.0,34.3,10.41,81.0,-2.5,0.55,0.21,0.404,28.3,294.1,32.5,45.0,False,Cq 0.55;shock min len
110.0,44.0,0.5,-40.0,40.0,34.3,8.8,81.0,-2.5,0.55,0.438,0.498,36.8,324.1,32.5,45.0,False,Cq 0.55;shock min len
110.0,44.0,0.5,-40.0,60.0,34.3,8.16,81.0,-2.5,0.55,0.456,0.525,38.8,316.5,32.5,45.0,False,Cq 0.55
110.0,44.0,0.5,-20.0,20.0,34.3,25.86,81.0,-2.5,0.55,0.185,0.256,18.4,474.9,32.5,45.0,False,Cq 0.55;shock min len
110.0,44.0,0.5,-20.0,40.0,34.3,14.92,81.0,-2.5,0.55,0.337,0.396,29.0,433.2,32.5,45.0,False,Cq 0.55
110.0,44.0,0.5,-20.0,60.0,34.3,11.66,81.0,-2.5,0.55,0.381,0.485,34.0,396.9,32.5,45.0,False,Cq 0.55
110.0,44.0,0.5,0.0,20.0,34.3,81.2,81.0,-2.5,0.55,0.145,0.178,12.9,1048.2,32.5,45.0,False,Cq 0.55;MR range;F_shock 1048
110.0,44.0,0.5,0.0,40.0,34.3,29.12,81.0,-2.5,0.55,0.241,0.332,22.6,659.2,32.5,45.0,False,Cq 0.55
110.0,44.0,0.5,0.0,60.0,34.3,18.37,81.0,-2.5,0.55,0.304,0.429,28.8,529.2,32.5,45.0,False,Cq 0.55
110.0,44.0,0.7,-40.0,20.0,34.3,10.55,81.0,-2.5,0.55,0.122,0.401,23.6,249.0,32.5,45.0,False,Cq 0.55;MR range;shock min len
110.0,44.0,0.7,-40.0,40.0,34.3,7.04,81.0,-2.5,0.55,0.455,0.491,38.6,271.9,32.5,45.0,False,Cq 0.55
110.0,44.0,0.7,-40.0,60.0,34.3,5.76,81.0,-2.5,0.55,0.543,0.635,46.4,267.3,32.5,45.0,False,Cq 0.55;stroke 46
